InvoiceNo,StartDate,EndDate,PaymentDate,Completed?
158332,04/25/2022,05/16/2022,06/02/2022,Yes
158548,,,,Yes
157852,,,,Yes
158379,,,,Yes
159400,,,,Yes
158062,,,,Yes
159525,,,,Yes
159474,,,,Yes
158544,,,,Yes
158731,,,,Yes
159082,,,,Yes
158051,,,,Yes
159503,,,,Yes
159205,,,,Yes
157878,,,,Yes
159112,,,,Yes
157815,,,,Yes
159075,,,,Yes
158795,,,,Yes
158413,,,,Yes
158723,,,,Yes
158385,,,,Yes
158876,,,,Yes
159323,,,,Yes
158138,,,,Yes
159322,,,,Yes
158232,,,,Yes
158327,,,,Yes
158395,,,,Yes
159496,,,,Yes
159551,,,,Yes
158129,,,,Yes
158469,,,,Yes
159300,,,,Yes
157638,,,,Yes
159304,,,,Yes
159020,,,,Yes
159095,,,,Yes
159314,,,,Yes
159334,,,,Yes
158165,,,,Yes
157569,,,,Yes
159384,,,,Yes
159299,,,,Yes
158811,,,,Yes
158783,,,,Yes
157811,,,,Yes
158868,,,,Yes
157998,,,,Yes
158426,,,,Yes
159132,,,,Yes
157595,,,,Yes
158948,,,,Yes
157995,,,,Yes
159016,,,,Yes
159291,,,,Yes
159225,,,,Yes
158108,,,,Yes
157664,,,,Yes
158465,,,,Yes
158713,,,,Yes
157615,,,,Yes
159167,,,,Yes
157913,,,,Yes
158398,,,,Yes
159415,,,,Yes
159030,,,,Yes
159331,,,,Yes
157570,,,,Yes
159316,,,,Yes
158665,,,,Yes
157571,,,,Yes
158414,,,,Yes
159328,,,,Yes
158216,,,,Yes
158685,,,,Yes
157829,,,,Yes
158545,,,,Yes
158808,,,,Yes
159198,,,,Yes
157792,,,,Yes
158009,,,,Yes
158850,,,,Yes
158541,,,,Yes
158342,,,,Yes
157894,,,,Yes
158183,,,,Yes
158447,,,,Yes
159439,,,,Yes
157987,,,,Yes
158885,,,,Yes
158529,,,,Yes
159487,,,,Yes
157611,,,,Yes
158796,,,,Yes
158857,,,,Yes
157866,,,,Yes
157672,,,,Yes
158411,,,,Yes
158750,,,,Yes
157928,,,,Yes
158550,,,,Yes
159466,,,,Yes
158303,,,,Yes
159338,,,,Yes
159122,,,,Yes
159217,,,,Yes
159054,,,,Yes
157882,,,,Yes
159402,,,,Yes
158172,,,,Yes
159557,,,,Yes
159203,,,,Yes
159288,,,,Yes
158670,,,,Yes
158335,,,,Yes
159517,,,,Yes
159457,,,,Yes
158935,,,,Yes
159302,,,,Yes
158681,,,,Yes
158809,,,,Yes
159391,,,,Yes
159102,,,,Yes
159405,,,,Yes
159418,,,,Yes
159073,,,,Yes
157583,,,,Yes
159292,,,,Yes
158067,,,,Yes
157819,,,,Yes
158671,,,,Yes
157984,,,,Yes
157926,,,,Yes
159220,,,,Yes
157741,,,,Yes
159326,,,,Yes
158460,,,,Yes
158196,,,,Yes
159231,,,,Yes
158551,,,,Yes
158956,,,,Yes
158459,,,,Yes
158404,,,,Yes
158552,,,,Yes
159222,,,,Yes
159494,,,,Yes
158832,,,,Yes
159076,,,,Yes
157594,,,,Yes
158607,,,,Yes
158946,,,,Yes
157818,,,,Yes
158337,,,,Yes
158331,,,,Yes
157613,,,,Yes
158110,,,,Yes
159074,,,,Yes
158387,,,,Yes
158225,,,,Yes
158400,,,,Yes
158866,,,,Yes
159120,,,,Yes
158418,,,,Yes
157893,,,,Yes
158955,,,,Yes
157869,,,,Yes
159121,,,,Yes
159127,,,,Yes
158497,,,,Yes
158942,,,,Yes
157983,,,,Yes
158849,,,,Yes
158113,,,,Yes
157636,,,,Yes
158417,,,,Yes
158880,,,,Yes
158240,,,,Yes
159230,,,,Yes
159047,,,,Yes
158005,,,,Yes
158257,,,,Yes
158294,,,,Yes
159052,,,,Yes
158871,,,,Yes
157705,,,,Yes
158954,,,,Yes
158853,,,,Yes
158792,,,,Yes
157607,,,,Yes
159101,,,,Yes
158540,,,,Yes
159114,,,,Yes
158615,,,,Yes
158008,,,,Yes
157564,,,,Yes
158744,,,,Yes
159431,,,,Yes
159069,,,,Yes
158004,,,,Yes
157771,,,,Yes
158376,,,,Yes
158542,,,,Yes
159060,,,,Yes
158799,,,,Yes
158678,,,,Yes
158521,,,,Yes
157883,,,,Yes
159497,,,,Yes
156801,,,,Yes
158661,,,,Yes
157981,,,,Yes
158874,,,,Yes
159128,,,,Yes
158390,,,,Yes
158612,,,,Yes
158243,,,,Yes
158271,,,,Yes
158820,,,,Yes
159142,,,,Yes
157996,,,,Yes
158593,,,,Yes
157635,,,,Yes
158429,,,,Yes
159259,,,,Yes
157586,,,,Yes
159490,,,,Yes
158246,,,,No
